import time: self [us] | cumulative | imported package
import time:      8510 |       8510 |               openpyxl.chartsheet.publish
import time:      3373 |      47122 |             openpyxl.chartsheet.chartsheet
import time:      3311 |      50433 |           openpyxl.chartsheet
import time:      3229 |       3229 |           openpyxl.packaging.core
import time:      3012 |       3012 |           openpyxl.packaging.custom
import time:     14194 |    1565677 |         openpyxl.workbook.workbook
import time:     17765 |    1583442 |       openpyxl.workbook
import time:     12376 |      12376 |         openpyxl.reader
import time:      3972 |       3972 |           openpyxl.pivot
import time:      5896 |       5896 |           openpyxl.pivot.fields
import time:      9788 |      19656 |         openpyxl.pivot.table
import time:       672 |        672 |         openpyxl.tests
import time:      2987 |       2987 |         openpyxl.reader.strings
import time:      6528 |       6528 |               openpyxl.workbook.external_link.external
import time:      4966 |      11494 |             openpyxl.workbook.external_link
import time:       121 |      11615 |           openpyxl.workbook.external_link.external
import time:      4991 |       4991 |           openpyxl.pivot.cache
import time:      2915 |       2915 |           openpyxl.pivot.record
import time:      3108 |      22628 |         openpyxl.reader.workbook
import time:      2889 |       2889 |             openpyxl.chart.plotarea
import time:      4467 |       4467 |             openpyxl.chart.pivot
import time:      5631 |       5631 |             openpyxl.chart.print_settings
import time:      7232 |      20217 |           openpyxl.chart.chartspace
import time:      3799 |       3799 |           openpyxl.chart.reader
import time:      5708 |      29723 |         openpyxl.reader.drawings
import time:     12417 |     100457 |       openpyxl.reader.excel
import time:      7989 |       7989 |       openpyxl._constants
import time:      3732 |    2360401 |     openpyxl
import time:      5083 |       5083 |     toolbox_app.tools.bth_spreader_padeye.report_renderer
import time:      2982 |    2371762 |   toolbox_app.tools.bth_spreader_padeye.exports
import time:     10847 |      10847 |     toolbox_app.blocks
import time:     20412 |      31258 |   toolbox_app.blocks.aisc_shapes_db
import time:      3383 |       3383 |   toolbox_app.blocks.rigging_db
import time:      7696 |    3823752 | toolbox_app.tools.bth_spreader_padeye.backend.app
